DateTime,AddedIPs,RemovedIPs
1575702212,48,48
1575703871,48,48
1575705678,103,86
1575711097,74,39
1575714676,74,47
1575718311,67,64
1575721903,75,58
1575725478,65,52
1575729080,57,55
1575732665,63,63
1575736290,72,68
1575741687,74,58
1575743495,75,63
1575747076,89,62
1575750672,68,85
1575756094,65,68
1575759766,111,158
1575765081,66,90
1575768669,50,70
1575772270,52,78
1575775881,73,87
1575779470,71,85
1575784874,43,62
1575786664,65,58
1575790286,57,38
1575795696,65,46
1575797472,75,52
1575799274,69,50
1575804673,86,65
1575808289,77,52
1575811891,75,64
1575817278,64,66
1575819108,81,62
1575822678,83,54
1575824545,73,61
1575829862,71,64
1575835293,135,128
1575840676,56,84
1575842509,69,91
1575846093,91,69
1575847874,96,167
1575851513,65,93
1575855101,59,66
1575858667,46,60
1575862358,64,82
1575865892,68,83
1575867799,54,59
1575873070,64,54
1575876707,68,53
1575880300,63,63
1575883878,75,52
1575889270,62,48
1575891066,55,50
1575894755,61,38
1575898267,51,64
1575901896,69,59
1575905503,73,50
1575907373,72,51
1575910869,51,72
1575912679,119,94
1575916288,76,58
1575921685,88,69
1575925271,92,77
1575927080,67,100
1575930664,67,129
1575934277,56,85
1575936198,74,107
1575943271,67,79
1575945072,66,65
1575948692,78,84
1575952275,72,80
1575955871,56,73
1575959486,73,56
1575963101,55,56
1575966673,72,50
1575970285,55,63
1575973877,67,33
1575977473,63,52
1575981091,66,71
1575984671,74,70
1575988287,76,62
1575990114,62,53
1575995465,65,49
1575997288,78,59
1575999108,59,78
1576000867,78,59
1576002672,78,104
1576006287,120,77
1576009909,89,80
1576013480,81,92
1576017100,85,108
1576020691,58,103
1576024300,81,93
1576027874,55,62
1576033286,60,66
1576035067,68,89
1576038700,65,87
1576042265,49,62
1576045875,71,55
1576049469,72,54
1576053091,59,53
1576056706,56,55
1576058469,62,44
1576062090,52,79
1576069288,88,61
1576071103,81,57
1576072895,67,56
1576076497,56,67
1576078272,109,91
1576081900,85,52
1576085474,78,82
1576089076,76,60
1576092675,95,66
1576096270,68,78
1576098073,87,84
1576103466,64,103
1576105274,49,88
1576110664,55,86
1576114302,69,64
1576117874,52,70
1576121502,72,97
1576125072,89,94
1576130470,57,58
1576132293,68,66
1576135872,69,46
1576139486,70,49
1576143081,64,61
1576146672,62,46
1576150270,71,55
1576152073,2,0
1576155678,56,64
1576157468,67,53
1576161072,69,74
1576164709,62,54
1576168294,71,60
1576173668,77,51
1576177295,75,68
1576179083,91,67
1576182678,76,74
1576186276,53,72
1576189865,72,101
1576193477,58,95
1576197072,81,72
1576200668,48,84
1576204300,59,70
1576207876,88,84
1576211497,80,95
1576215109,59,79
1576218689,72,60
1576222278,69,44
1576225867,55,56
1576229495,58,56
1576234885,74,51
1576236697,51,62
1576240291,75,53
1576243866,73,55
1576247466,55,73
1576249267,118,99
1576252872,69,63
1576256512,132,106
1576258269,63,73
1576260136,73,63
1576261866,85,59
1576263701,70,72
1576267339,66,65
1576272690,66,69
1576276264,74,79
1576279880,66,87
1576283481,63,71
1576287082,61,82
1576290665,41,72
1576294289,75,88
1576297900,78,94
1576301501,54,53
1576305065,51,53
1576306921,60,58
1576312275,73,44
1576315866,89,41
1576319508,70,63
1576323070,75,68
1576326695,80,53
1576330276,83,62
1576333872,60,70
1576337469,69,57
1576339303,70,66
1576344666,87,65
1576348304,78,70
1576351864,57,69
1576355502,61,74
1576359066,57,64
1576362669,75,88
1576368069,48,86
1576369877,72,86
1576371695,86,72
1576373474,112,151
1576378872,51,61
1576380709,66,92
1576384280,71,98
1576387882,65,62
1576391487,54,53
1576395107,52,39
1576398668,63,47
1576402301,74,45
1576405891,84,47
1576407672,72,56
1576413072,59,57
1576418533,68,57
1576420271,82,68
1576423909,75,66
1576429273,76,57
1576432986,68,63
1576436468,76,61
1576440118,73,66
1576441872,70,67
1576445469,69,85
1576450934,52,80
1576452689,46,93
1576456273,73,92
1576459864,63,70
1576461665,60,71
1576467079,60,89
1576468902,80,95
1576476086,58,66
1576479704,66,50
1576481477,64,50
1576485097,73,58
1576490492,71,59
1576492271,62,50
1576495874,66,54
1576499506,74,50
1576503080,51,61
1576506687,59,91
1576510263,75,86
1576513903,95,58
1576515701,86,74
1576517470,74,86
1576519295,86,74
1576521080,83,58
1576524665,75,68
1576528270,82,77
1576531872,70,88
1576535475,57,92
1576540880,115,164
1576546312,54,67
1576549865,56,58
1576551665,58,56
1576553515,107,134
1576555273,90,95
1576560670,57,63
1576564280,69,58
1576566065,70,50
1576571465,58,50
1576573296,79,66
1576578664,67,65
1576584136,122,92
1576591274,62,66
1576593070,81,67
1576596672,79,39
1576600269,63,76
1576603869,63,63
1576609270,85,68
1576611089,87,63
1576616503,83,80
1576618302,80,73
1576623678,77,102
1576625486,60,98
1576629087,71,93
1576634474,62,95
1576638082,40,71
1576639900,70,88
1576643509,84,88
1576645312,88,84
1576647073,128,142
1576650692,64,67
1576654270,78,48
1576657874,74,55
1576659748,66,50
1576665076,71,53
1576670473,63,59
1576672262,66,62
1576674081,69,52
1576681433,68,57
1576683064,53,67
1576686673,65,60
1576690290,92,68
1576693879,88,83
1576699286,92,151
1576701095,75,72
1576706477,72,68
1576708272,71,89
1576711877,49,102
1576715480,75,100
1576719087,71,86
1576724474,57,63
1576726279,66,94
1576729867,82,102
1576733465,59,64
1576737078,72,68
1576740665,93,53
1576744280,70,77
1576746101,79,62
1576751474,60,61
1576755069,49,54
1576758676,57,53
1576762341,73,60
1576764151,64,60
1576769477,75,70
1576771339,70,75
1576773065,119,100
1576776682,84,51
1576780287,81,73
1576783886,70,77
1576787469,87,73
1576791112,71,73
1576794688,72,93
1576798274,58,95
1576800075,74,98
1576805480,66,94
1576807270,41,51
1576812680,78,81
1576818096,96,96
1576819867,51,79
1576823478,78,71
1576827090,75,51
1576830665,61,49
1576834270,69,54
1576836070,64,54
1576841475,71,55
1576843300,69,63
1576848697,57,69
1576852290,62,57
1576857674,64,56
1576859470,67,51
1576864902,68,62
1576866689,74,59
1576868475,70,64
1576873900,70,69
1576877494,74,72
1576881065,66,81
1576884673,64,99
1576888264,63,97
1576891882,79,77
1576895467,50,55
1576899083,68,97
1576902673,73,90
1576906294,53,65
1576909909,68,45
1576913474,63,38
1576915278,58,54
1576920664,66,45
1576924265,94,49
1576926100,49,67
1576929701,67,49
1576931473,91,92
1576935073,80,63
1576940471,74,49
1576942285,62,68
1576945874,74,66
1576947712,66,74
1576949493,110,100
1576951277,62,64
1576954879,132,130
1576960277,61,59
1576965722,75,73
1576967468,61,82
1576971088,39,88
1576972886,67,71
1576978273,78,67
1576981865,34,81
1576987312,65,81
1576989070,72,95
1576994470,61,71
1576996279,63,42
1576998068,49,46
1577003477,63,43
1577008866,73,36
1577010672,36,73
1577012465,131,65
1577014265,69,66
1577017875,81,63
1577023298,71,59
1577025075,66,59
1577028670,59,59
1577032283,74,63
1577037700,83,64
1577039506,75,53
1577044892,77,69
1577048519,82,79
1577050297,78,76
1577053903,64,91
1577057493,56,101
1577061065,71,91
1577064700,60,72
1577068279,46,78
1577071879,71,87
1577075490,81,89
1577079071,58,70
1577082677,60,63
1577086267,58,56
1577089865,70,38
1577093470,85,58
1577098943,75,68
1577100727,65,61
1577106071,64,58
1577109738,74,56
1577111487,73,52
1577115069,86,125
1577116919,142,101
1577120552,77,80
1577122371,92,51
1577125872,93,60
1577129467,59,68
1577133072,65,72
1577138541,70,87
1577140264,68,94
1577143901,62,122
1577147472,109,90
1577151067,68,87
1577154670,50,67
1577158263,63,82
1577161866,75,90
1577165472,56,75
1577169065,66,50
1577174476,58,51
